user_role,hour_of_day,day_of_week,geo_dist_km,device_posture,resource_type,req_velocity,session_dur_s,baseline_dev,label
operator,10,0,18.8,compliant,historian,6.02,95.3,0.17,0
auditor,12,1,41.7,unknown,config,1.89,160.5,0.36,0
engineer,14,4,655.9,compliant,PLC,5.01,43.8,0.72,0
engineer,13,4,154.9,unknown,historian,5.34,97.7,0.13,0
auditor,12,1,13.5,compliant,PLC,5.5,163.9,0.25,0
auditor,6,0,17.1,compliant,historian,5.12,303.9,0.62,1
operator,14,3,572.8,compliant,config,5.13,76.2,0.9,1
engineer,8,2,127.0,compliant,PLC,1.15,51.0,0.15,0
engineer,0,0,14.0,unknown,PLC,5.34,122.0,0.29,0
operator,7,5,8.8,compliant,historian,0.79,161.0,0.17,0
operator,14,2,8.1,compliant,config,3.63,258.2,0.26,0
auditor,9,2,31.7,unknown,historian,3.58,95.1,0.03,0
auditor,17,3,239.7,unknown,HMI,3.46,43.7,0.45,1
engineer,9,6,59.0,compliant,PLC,0.85,95.4,0.19,0
auditor,12,3,18.4,compliant,bulk_export,1.56,314.0,0.33,0
operator,6,0,66.5,unknown,bulk_export,16.75,991.0,0.61,1
auditor,16,0,21.4,compliant,HMI,1.99,42.5,0.33,0
auditor,6,6,60.4,compliant,config,7.47,66.5,0.59,1
auditor,14,5,8.5,unknown,historian,3.63,325.1,0.25,0
engineer,11,5,53.1,compliant,HMI,3.24,54.5,0.08,0
engineer,16,1,81.0,compliant,historian,3.94,87.1,0.09,0
engineer,12,6,89.4,compliant,historian,3.58,131.5,0.25,0
auditor,11,3,45.2,compliant,HMI,2.27,92.8,0.09,0
engineer,12,5,25.4,compliant,PLC,1.17,71.7,0.02,0
operator,16,1,8.7,compliant,bulk_export,6.14,379.5,0.08,0
auditor,9,3,0.1,compliant,bulk_export,4.82,321.7,0.3,0
auditor,11,4,40.8,compliant,config,5.26,181.7,0.33,0
operator,4,2,15.7,unknown,historian,3.47,230.5,0.57,1
auditor,12,4,7.6,compliant,bulk_export,3.55,217.2,0.06,0
engineer,12,1,94.9,compliant,historian,1.3,352.5,0.26,0
auditor,17,3,12.7,compliant,HMI,2.92,28.9,0.3,0
operator,3,2,19.4,compliant,HMI,8.6,82.6,0.49,0
engineer,18,3,25.4,unknown,PLC,5.58,29.1,0.44,1
operator,9,1,547.5,compliant,historian,4.03,186.2,0.6,1
engineer,16,3,12.3,compliant,PLC,4.8,143.3,0.18,0
engineer,13,4,63.5,compliant,HMI,2.69,46.2,0.39,0
engineer,15,1,155.8,compliant,historian,2.91,278.3,0.23,0
engineer,9,4,40.0,compliant,PLC,4.04,93.9,0.36,0
operator,17,4,3.4,compliant,PLC,5.04,181.5,0.41,0
auditor,9,2,35.1,unknown,config,3.32,221.5,0.23,0
engineer,17,3,111.0,compliant,historian,2.1,157.5,0.12,0
engineer,15,3,47.5,unknown,historian,1.5,247.7,0.35,0
engineer,12,3,30.2,unknown,bulk_export,12.32,1362.9,0.88,1
auditor,13,3,19.1,compliant,config,0.6,121.1,0.36,0
engineer,12,0,11.9,compliant,PLC,3.57,108.8,0.28,0
auditor,12,2,46.7,compliant,historian,0.48,201.3,0.31,0
engineer,14,1,25.7,compliant,HMI,2.96,23.1,0.05,0
operator,18,2,105.2,unknown,bulk_export,11.03,741.1,0.61,1
engineer,12,5,76.2,compliant,historian,0.95,201.5,0.21,0
auditor,17,0,40.3,compliant,PLC,5.46,131.5,0.45,0
auditor,11,2,27.6,compliant,HMI,6.26,108.8,0.17,0
operator,17,2,27.4,compliant,historian,3.53,263.1,0.15,0
engineer,12,4,109.0,compliant,historian,4.47,78.5,0.45,0
engineer,9,4,136.2,compliant,historian,4.43,196.1,0.3,0
operator,2,4,26.1,unknown,PLC,2.9,84.2,0.24,1
engineer,16,0,149.4,compliant,historian,5.21,87.8,0.29,0
auditor,13,5,13.4,compliant,bulk_export,1.66,260.5,0.35,0
operator,10,0,411.6,compliant,config,5.09,97.4,0.68,1
auditor,13,4,27.7,compliant,historian,6.47,383.3,0.22,0
operator,17,1,1.3,compliant,config,3.79,217.7,0.4,0
engineer,13,6,55.8,compliant,historian,1.05,214.4,0.29,0
operator,14,2,35.1,compliant,PLC,2.78,101.6,0.13,0
operator,14,2,166.1,compliant,PLC,5.91,50.1,0.89,1
auditor,9,3,19.4,compliant,bulk_export,3.49,270.5,0.06,0
engineer,16,2,117.0,compliant,HMI,1.07,126.4,0.0,0
auditor,12,2,38.5,compliant,PLC,5.69,93.6,0.12,0
engineer,17,0,73.8,unknown,PLC,4.66,103.6,0.39,0
auditor,12,4,31.9,compliant,bulk_export,0.79,316.3,0.02,0
operator,18,3,35.5,compliant,historian,1.12,400.0,0.07,0
operator,11,0,28.7,unknown,PLC,3.5,38.7,0.43,0
engineer,15,0,97.1,unknown,HMI,2.08,36.5,0.27,0
engineer,0,0,61.5,compliant,HMI,2.67,110.0,0.44,0
auditor,6,3,34.2,unknown,historian,9.16,76.7,0.41,1
engineer,7,3,90.0,compliant,HMI,0.65,28.5,0.35,0
engineer,16,3,78.5,compliant,HMI,2.72,92.5,0.39,0
engineer,12,2,619.7,compliant,config,1.18,71.5,0.75,1
operator,10,4,34.6,unknown,HMI,4.36,57.3,0.14,0
engineer,10,4,14.1,unknown,PLC,3.1,58.6,0.03,0
engineer,3,1,73.7,compliant,config,3.39,168.7,0.04,0
engineer,10,0,95.5,compliant,config,1.46,63.9,0.35,0
auditor,12,3,53.1,unknown,bulk_export,6.07,494.4,0.72,1
operator,1,2,23.1,compliant,HMI,5.51,71.5,0.08,0
auditor,14,2,26.4,compliant,bulk_export,4.43,310.0,0.41,0
engineer,10,6,81.0,compliant,PLC,2.75,81.4,0.26,0
engineer,13,0,200.9,compliant,PLC,5.41,125.9,0.73,1
operator,12,0,26.9,compliant,config,5.68,66.8,0.09,0
engineer,12,1,45.5,compliant,historian,5.77,197.8,0.07,0
auditor,9,1,1.8,compliant,historian,6.33,174.8,0.18,0
operator,14,2,31.2,compliant,bulk_export,6.42,520.4,0.01,0
engineer,18,2,12.3,compliant,config,8.94,206.7,0.61,1
operator,11,3,22.6,compliant,bulk_export,5.57,930.5,0.68,1
auditor,16,0,75.5,unknown,bulk_export,14.43,1524.0,0.53,1
auditor,9,4,28.0,compliant,bulk_export,3.67,718.0,0.22,0
engineer,13,1,35.6,compliant,HMI,3.33,36.1,0.18,0
engineer,5,0,40.9,unknown,bulk_export,4.68,498.0,0.69,1
auditor,11,2,14.5,compliant,PLC,3.07,89.6,0.3,0
auditor,14,1,35.4,compliant,config,4.52,150.8,0.0,0
auditor,17,3,64.7,compliant,HMI,2.3,28.2,0.02,0
auditor,10,4,30.3,compliant,bulk_export,4.17,172.8,0.26,0
auditor,12,0,109.2,unknown,bulk_export,5.78,1350.5,0.52,1
auditor,10,3,60.2,compliant,bulk_export,5.51,483.7,0.41,0
engineer,14,4,106.6,compliant,PLC,3.5,116.0,0.19,0
engineer,10,2,127.6,compliant,historian,3.62,187.3,0.04,0
operator,13,2,37.8,compliant,bulk_export,18.18,1195.6,0.85,1
operator,10,4,29.8,unknown,bulk_export,21.05,513.5,0.6,1
engineer,10,3,15.2,compliant,config,1.53,198.5,0.03,0
engineer,14,4,34.3,compliant,bulk_export,16.52,664.8,0.88,1
auditor,17,0,11.5,compliant,PLC,1.3,68.8,0.28,0
operator,10,1,37.3,compliant,historian,5.0,303.8,0.34,0
engineer,15,0,150.7,compliant,historian,3.58,105.2,0.41,0
engineer,12,1,133.8,compliant,HMI,1.06,81.1,0.08,0
operator,16,1,12.6,compliant,HMI,3.35,62.5,0.22,0
engineer,9,2,109.1,compliant,historian,2.71,74.8,0.3,0
engineer,15,2,42.5,unknown,historian,2.65,318.2,0.31,0
auditor,14,0,30.5,compliant,bulk_export,6.77,578.9,0.04,0
engineer,8,4,13.0,unknown,config,2.63,191.0,0.42,0
auditor,15,2,9.7,compliant,config,3.13,306.8,0.02,0
auditor,11,3,11.9,compliant,config,3.68,86.3,0.41,1
auditor,12,1,20.3,unknown,bulk_export,4.63,431.6,0.25,0
operator,6,1,1.4,compliant,PLC,3.96,97.9,0.04,0
operator,15,5,30.9,compliant,HMI,1.0,39.0,0.4,0
operator,8,2,31.6,compliant,historian,1.33,287.3,0.42,0
auditor,10,2,47.3,compliant,bulk_export,4.04,558.8,0.35,1
operator,16,2,17.7,compliant,bulk_export,1.17,601.5,0.1,0
engineer,10,2,11.3,unknown,HMI,1.5,94.0,0.27,1
auditor,16,3,43.2,compliant,bulk_export,5.83,396.0,0.11,0
operator,6,0,24.1,compliant,historian,2.58,296.5,0.2,0
auditor,15,2,19.2,compliant,PLC,5.34,89.5,0.33,0
operator,16,1,14.6,unknown,historian,3.91,397.9,0.42,0
auditor,20,2,0.9,compliant,config,8.52,177.0,0.55,1
engineer,16,4,102.2,compliant,bulk_export,5.63,249.0,0.29,0
auditor,14,3,22.6,compliant,config,0.67,55.8,0.1,0
operator,21,2,19.6,compliant,bulk_export,2.32,254.8,0.59,1
operator,14,2,21.8,compliant,historian,2.74,138.4,0.19,0
auditor,16,4,54.3,compliant,historian,1.74,159.9,0.01,0
engineer,10,0,93.9,compliant,HMI,3.74,38.1,0.25,0
operator,18,0,26.9,compliant,HMI,1.16,70.9,0.09,0
auditor,14,1,57.5,compliant,PLC,2.29,32.0,0.31,0
auditor,11,1,559.0,unknown,config,2.85,257.8,0.77,1
auditor,14,5,29.4,compliant,bulk_export,5.9,332.2,0.31,0
engineer,13,3,144.2,compliant,HMI,3.14,87.8,0.33,0
auditor,10,0,8.8,compliant,bulk_export,1.12,313.3,0.18,0
operator,14,6,13.9,compliant,PLC,5.82,94.0,0.01,0
engineer,10,6,78.2,compliant,config,4.51,174.5,0.31,1
operator,11,4,6.8,compliant,historian,5.28,92.7,0.04,0
operator,13,2,25.4,compliant,historian,2.49,133.8,0.16,1
operator,1,1,12.8,compliant,PLC,1.34,39.2,0.28,0
operator,6,3,35.5,compliant,bulk_export,4.85,537.5,0.41,0
auditor,15,6,52.3,unknown,config,2.28,254.7,0.14,0
auditor,12,4,7.8,compliant,config,0.65,288.6,0.21,0
engineer,22,0,5.5,compliant,historian,4.01,274.5,0.38,0
auditor,17,3,16.7,compliant,HMI,3.16,34.9,0.21,0
auditor,12,4,26.6,compliant,HMI,4.66,95.3,0.07,0
auditor,17,2,76.5,compliant,bulk_export,14.04,514.3,0.94,1
engineer,16,1,24.0,compliant,HMI,4.95,63.0,0.38,0
engineer,21,3,4.4,unknown,historian,2.79,102.9,0.28,0
operator,15,3,5.2,compliant,HMI,0.98,49.4,0.13,0
operator,15,0,26.4,compliant,historian,4.93,86.7,0.15,0
operator,16,4,30.5,compliant,HMI,0.95,26.6,0.23,0
auditor,17,0,14.9,unknown,bulk_export,15.43,1456.8,0.61,1
engineer,10,3,99.5,compliant,historian,2.98,359.4,0.39,0
engineer,9,6,95.3,compliant,HMI,0.64,126.6,0.35,0
engineer,10,2,43.3,compliant,bulk_export,7.22,369.9,0.89,1
engineer,14,4,448.6,compliant,historian,2.71,206.5,0.4,1
auditor,9,2,26.8,compliant,PLC,0.56,167.4,0.32,0
auditor,16,1,3.1,compliant,bulk_export,2.06,568.5,0.28,0
auditor,7,4,49.3,compliant,PLC,2.03,37.0,0.72,1
engineer,22,0,95.2,unknown,historian,2.67,388.6,0.13,0
engineer,15,1,115.7,compliant,historian,1.18,122.3,0.41,0
engineer,12,2,58.1,compliant,historian,2.76,106.3,0.23,0
auditor,9,4,27.2,unknown,historian,1.44,73.5,0.32,0
operator,20,1,16.0,compliant,HMI,4.87,24.7,0.07,1
auditor,13,4,16.0,compliant,bulk_export,2.62,617.5,0.17,0
auditor,13,1,7.4,compliant,bulk_export,3.22,210.4,0.27,0
engineer,16,0,666.4,compliant,PLC,1.95,133.2,0.76,1
auditor,15,3,293.5,unknown,historian,5.65,296.1,0.68,0
auditor,14,1,320.4,compliant,historian,4.16,350.7,0.79,1
auditor,12,2,30.7,compliant,config,2.31,187.3,0.39,0
auditor,19,4,5.8,compliant,HMI,5.29,87.3,0.66,1
engineer,12,0,61.1,compliant,historian,1.48,139.3,0.0,1
operator,14,0,5.3,compliant,historian,2.47,254.8,0.01,0
operator,18,4,18.7,compliant,PLC,3.76,82.9,0.22,0
operator,6,1,17.3,compliant,config,3.95,158.2,0.39,0
auditor,9,3,60.9,unknown,bulk_export,1.52,619.0,0.43,1
auditor,16,6,26.0,compliant,bulk_export,4.9,309.7,0.4,0
auditor,12,0,12.7,compliant,PLC,0.47,172.2,0.33,0
operator,16,1,513.0,compliant,config,4.73,88.5,0.47,1
auditor,17,3,20.8,unknown,historian,2.83,333.0,0.12,0
auditor,16,1,221.9,unknown,historian,6.44,280.1,0.45,1
operator,8,3,386.3,compliant,historian,2.59,203.9,0.44,1
auditor,11,1,60.6,unknown,bulk_export,4.92,566.6,0.02,0
auditor,16,5,32.0,compliant,historian,0.84,416.7,0.43,0
engineer,9,4,108.4,compliant,HMI,3.18,68.9,0.28,0
auditor,10,4,59.1,compliant,config,3.98,95.6,0.12,0
auditor,16,0,9.6,unknown,HMI,2.8,25.2,0.27,0
operator,7,2,13.1,compliant,bulk_export,2.86,575.1,0.4,0
operator,11,0,19.2,unknown,bulk_export,4.89,482.7,0.78,1
auditor,15,4,27.4,compliant,historian,2.49,226.8,0.42,0
operator,7,0,321.2,compliant,PLC,2.84,149.5,0.7,1
